epoch,loss,lr,mse,val_loss,val_mse
0,0.010978329926729202,6.25e-06,0.0007268137414939702,0.012903434224426746,0.000777111214119941
1,0.010934206657111645,6.25e-06,0.0007180504035204649,0.011779640801250935,0.0007292517111636698
2,0.010950339026749134,6.25e-06,0.0007089169230312109,0.011781105771660805,0.0007852133130654693
3,0.011006120592355728,6.25e-06,0.0007228533504530787,0.011740267276763916,0.0007840439211577177
4,0.010827657766640186,6.25e-06,0.0007133447797968984,0.012112812139093876,0.0007984584663063288
5,0.01099382620304823,6.25e-06,0.0007267155451700091,0.012004546821117401,0.0006811773055233061
6,0.010823006741702557,6.25e-06,0.0007174663478508592,0.011737920343875885,0.0006539232563227415
7,0.01062505692243576,6.25e-06,0.0007098120404407382,0.012029161676764488,0.000771022867411375
8,0.010792807675898075,6.25e-06,0.0007211933261714876,0.012011118233203888,0.0007766770431771874
9,0.01059194840490818,6.25e-06,0.0007090390427038074,0.012134370394051075,0.0006686577689833939
10,0.010573158040642738,6.25e-06,0.0007023853249847889,0.01156319584697485,0.000699152413289994
11,0.010663334280252457,6.25e-06,0.0007079328643158078,0.011656947433948517,0.0006366593879647553
12,0.011055253446102142,6.25e-06,0.0007219156832434237,0.011597096920013428,0.0006795551744289696
13,0.009996604174375534,3.125e-06,0.0006801097188144922,0.011259718798100948,0.0006540260510519147
14,0.009981426410377026,3.125e-06,0.0006826358730904758,0.011060576885938644,0.0006767802406102419
15,0.009928535670042038,3.125e-06,0.0006817065295763314,0.011414294131100178,0.0006931586540304124
16,0.009869950823485851,3.125e-06,0.0006782875279895961,0.011636948212981224,0.0006652884767390788
17,0.009980781935155392,3.125e-06,0.0006855632527731359,0.01118343323469162,0.0006877057021483779
18,0.009997007437050343,3.125e-06,0.0006821599090471864,0.011136531829833984,0.0006701364181935787
19,0.009817855432629585,3.125e-06,0.0006700536468997598,0.011264651082456112,0.0006409212364815176
20,0.009878692217171192,3.125e-06,0.0006728320149704814,0.011341027915477753,0.0006745663122273982
21,0.009828397072851658,3.125e-06,0.0006742997211404145,0.011116288602352142,0.0007076702895574272
22,0.009506858885288239,1.5625e-06,0.000659657409414649,0.010615983977913857,0.0006722538382746279
23,0.009455197490751743,1.5625e-06,0.0006576478481292725,0.010584961622953415,0.0006458561401814222
24,0.009541564621031284,1.5625e-06,0.000656037824228406,0.010791916400194168,0.0006618468323722482
25,0.009560134261846542,1.5625e-06,0.0006595784216187894,0.010700143873691559,0.0006484668119810522
26,0.009533404372632504,1.5625e-06,0.0006554138381034136,0.010739904828369617,0.0006455238326452672
27,0.00953170470893383,1.5625e-06,0.000661307480186224,0.010861771181225777,0.0006695589981973171
28,0.009347335435450077,7.8125e-07,0.0006532804109156132,0.01059635728597641,0.000664254417642951
29,0.009302363730967045,7.8125e-07,0.0006507266080006957,0.010648670606315136,0.0006646878318861127
30,0.009293865412473679,7.8125e-07,0.0006521419272758067,0.010709800757467747,0.0006488727522082627
31,0.009290268644690514,7.8125e-07,0.0006519739399664104,0.010569303296506405,0.0006448794156312943
32,0.009286802262067795,7.8125e-07,0.0006550574325956404,0.010573717765510082,0.0006537912995554507
33,0.009287361055612564,7.8125e-07,0.0006470064399763942,0.010584336705505848,0.0006583386566489935
34,0.009198845364153385,3.90625e-07,0.0006510088569484651,0.010521036572754383,0.0006557632004842162
35,0.009212790988385677,3.90625e-07,0.0006517903530038893,0.010563116520643234,0.0006599979242309928
36,0.009200626984238625,3.90625e-07,0.0006514328415505588,0.010593170300126076,0.0006525489734485745
37,0.009209292009472847,3.90625e-07,0.0006506462814286351,0.010621764697134495,0.0006596544990316033
38,0.009204406291246414,3.90625e-07,0.0006490986561402678,0.010516799986362457,0.000655953015666455
39,0.009193363599479198,3.90625e-07,0.0006482791504822671,0.010561814531683922,0.0006604547961615026
40,0.00914022047072649,1.953125e-07,0.0006467355415225029,0.010528474114835262,0.000649269437417388
41,0.009148879908025265,1.953125e-07,0.0006464242469519377,0.010557890869677067,0.0006495181005448103
42,0.009140681475400925,1.953125e-07,0.0006483822944574058,0.010515641421079636,0.0006558703607879579
43,0.009131286293268204,1.953125e-07,0.0006465549231506884,0.010594792664051056,0.0006517081055790186
44,0.009144986048340797,1.953125e-07,0.0006477166898548603,0.010532933287322521,0.0006647623958997428
45,0.009116309694945812,9.765625e-08,0.0006455783150158823,0.010536346584558487,0.0006534665590152144
46,0.009114325977861881,9.765625e-08,0.0006449147476814687,0.010508558712899685,0.0006482729222625494
47,0.009118202142417431,9.765625e-08,0.0006455062539316714,0.010548132471740246,0.0006572206038981676
48,0.009113326668739319,9.765625e-08,0.000646774482447654,0.010496608912944794,0.0006545077194459736
49,0.00910954363644123,9.765625e-08,0.0006457960116676986,0.010499480180442333,0.0006532216793857515
